DATE,JTU1000HIL
2000-12-01,3907
2001-01-01,5400
2001-02-01,4105
2001-03-01,4826
2001-04-01,5587
2001-05-01,5506
2001-06-01,5293
2001-07-01,5419
2001-08-01,5000
2001-09-01,4752
2001-10-01,5181
2001-11-01,4060
2001-12-01,3334
2002-01-01,4584
2002-02-01,3679
2002-03-01,4072
2002-04-01,5272
2002-05-01,4927
2002-06-01,5106
2002-07-01,5132
2002-08-01,4662
2002-09-01,4646
2002-10-01,4845
2002-11-01,3920
2002-12-01,3409
2003-01-01,4724
2003-02-01,3616
2003-03-01,3901
2003-04-01,4972
2003-05-01,4838
2003-06-01,4923
2003-07-01,4817
2003-08-01,4569
2003-09-01,4614
2003-10-01,4929
2003-11-01,3939
2003-12-01,3453
2004-01-01,4586
2004-02-01,3652
2004-03-01,4595
2004-04-01,5498
2004-05-01,5129
2004-06-01,5313
2004-07-01,5080
2004-08-01,4889
2004-09-01,4807
2004-10-01,5189
2004-11-01,4348
2004-12-01,3587
2005-01-01,4790
2005-02-01,4086
2005-03-01,4706
2005-04-01,5688
2005-05-01,5408
2005-06-01,5711
2005-07-01,5461
2005-08-01,5301
2005-09-01,5270
2005-10-01,5173
2005-11-01,4480
2005-12-01,3686
2006-01-01,4852
2006-02-01,4269
2006-03-01,4910
2006-04-01,5474
2006-05-01,5612
2006-06-01,5716
2006-07-01,5687
2006-08-01,5261
2006-09-01,4986
2006-10-01,5423
2006-11-01,4698
2006-12-01,3652
2007-01-01,4927
2007-02-01,3996
2007-03-01,4869
2007-04-01,5526
2007-05-01,5534
2007-06-01,5519
2007-07-01,5369
2007-08-01,5232
2007-09-01,5058
2007-10-01,5415
2007-11-01,4439
2007-12-01,3547
2008-01-01,4622
2008-02-01,3973
2008-03-01,4356
2008-04-01,5148
2008-05-01,4812
2008-06-01,5166
2008-07-01,4778
2008-08-01,4677
2008-09-01,4316
2008-10-01,4543
2008-11-01,3454
2008-12-01,2963
2009-01-01,3670
2009-02-01,3101
2009-03-01,3387
2009-04-01,3965
2009-05-01,3895
2009-06-01,3943
2009-07-01,4009
2009-08-01,3809
2009-09-01,3805
2009-10-01,3759
2009-11-01,3371
2009-12-01,2677
2010-01-01,3471
2010-02-01,2921
2010-03-01,3731
2010-04-01,4296
2010-05-01,4114
2010-06-01,4407
2010-07-01,4269
2010-08-01,4067
2010-09-01,3891
2010-10-01,4106
2010-11-01,3552
2010-12-01,2924
2011-01-01,3561
2011-02-01,3284
2011-03-01,3970
2011-04-01,4508
2011-05-01,4506
2011-06-01,4670
2011-07-01,4401
2011-08-01,4348
2011-09-01,4268
2011-10-01,4328
2011-11-01,3757
2011-12-01,2949
2012-01-01,3990
2012-02-01,3525
2012-03-01,4070
2012-04-01,4571
2012-05-01,4733
2012-06-01,4708
2012-07-01,4396
2012-08-01,4407
2012-09-01,4125
2012-10-01,4372
2012-11-01,3891
2012-12-01,3030
2013-01-01,4021
2013-02-01,3520
2013-03-01,3890
2013-04-01,4754
2013-05-01,4920
2013-06-01,4791
2013-07-01,4637
2013-08-01,4720
2013-09-01,4512
2013-10-01,4534
2013-11-01,4052
2013-12-01,3168
2014-01-01,4156
2014-02-01,3637
2014-03-01,4233
2014-04-01,5060
2014-05-01,5098
2014-06-01,5199
2014-07-01,5079
2014-08-01,4809
2014-09-01,4910
2014-10-01,5161
2014-11-01,4407
2014-12-01,3620
2015-01-01,4518
2015-02-01,3987
2015-03-01,4578
2015-04-01,5319
2015-05-01,5419
2015-06-01,5449
2015-07-01,5189
2015-08-01,5105
2015-09-01,4991
2015-10-01,5363
2015-11-01,4696
2015-12-01,3914
2016-01-01,4665
2016-02-01,4292
2016-03-01,4745
2016-04-01,5385
2016-05-01,5411
2016-06-01,5608
2016-07-01,5441
2016-08-01,5252
2016-09-01,4932
2016-10-01,5312
2016-11-01,4668
2016-12-01,3789
2017-01-01,4961
2017-02-01,4133
2017-03-01,4791
2017-04-01,5410
2017-05-01,5753
2017-06-01,6015
2017-07-01,5591
2017-08-01,5529
2017-09-01,5092
2017-10-01,5617
2017-11-01,4778
2017-12-01,3829
2018-01-01,4983
2018-02-01,4385
2018-03-01,5019
2018-04-01,5704
2018-05-01,6147
2018-06-01,6123
2018-07-01,5775
2018-08-01,5759
2018-09-01,5239
2018-10-01,5928
2018-11-01,5098
2018-12-01,4095
2019-01-01,5216
2019-02-01,4414
2019-03-01,5067
2019-04-01,6119
2019-05-01,6000
2019-06-01,6143
2019-07-01,6051
2019-08-01,5795
2019-09-01,5562
2019-10-01,5807
2019-11-01,5074
2019-12-01,4257
2020-01-01,5436
2020-02-01,4655
2020-03-01,4424
2020-04-01,4085
2020-05-01,8437
2020-06-01,8043
2020-07-01,6473
2020-08-01,5853
2020-09-01,5623
2020-10-01,6234
2020-11-01,5225
2020-12-01,3963
2021-01-01,5104
2021-02-01,4686
2021-03-01,5363
2021-04-01,6108
2021-05-01,6298
2021-06-01,6971
2021-07-01,6835
2021-08-01,6483
2021-09-01,6190
2021-10-01,6605
2021-11-01,5928
2021-12-01,4593
2022-01-01,5779
2022-02-01,5339
2022-03-01,5761
2022-04-01,6454
2022-05-01,6656
2022-06-01,6920
2022-07-01,6465
2022-08-01,6420
2022-09-01,5697
2022-10-01,5986
