DATE,W068RCQ027SBEA
2000-01-01,3074.397
2000-04-01,3129.768
2000-07-01,3152.254
2000-10-01,3210.083
2001-01-01,3280.819
2001-04-01,3358.217
2001-07-01,3377.367
2001-10-01,3436.53
2002-01-01,3508.647
2002-04-01,3554.587
2002-07-01,3598.998
2002-10-01,3681.871
2003-01-01,3744.177
2003-04-01,3808.76
2003-07-01,3839.406
2003-10-01,3869.703
2004-01-01,3947.702
2004-04-01,3982.852
2004-07-01,4050.203
2004-10-01,4093.92
2005-01-01,4201.029
2005-04-01,4240.85
2005-07-01,4375.914
2005-10-01,4393.619
2006-01-01,4456.559
2006-04-01,4508.744
2006-07-01,4557.261
2006-10-01,4555.974
2007-01-01,4747.079
2007-04-01,4792.841
2007-07-01,4859.514
2007-10-01,4934.382
2008-01-01,4991.989
2008-04-01,5366.788
2008-07-01,5236.25
2008-10-01,5452.409
2009-01-01,5533.429
2009-04-01,5680.717
2009-07-01,5641.212
2009-10-01,5693.133
2010-01-01,5804.974
2010-04-01,5872.568
2010-07-01,5825.414
2010-10-01,5834.793
2011-01-01,5848.004
2011-04-01,5906.467
2011-07-01,5852.866
2011-10-01,5879.574
2012-01-01,5835.737
2012-04-01,5825.191
2012-07-01,5834.161
2012-10-01,5872.514
2013-01-01,5836.0
2013-04-01,5846.239
2013-07-01,5864.665
2013-10-01,5868.619
2014-01-01,5904.824
2014-04-01,5974.243
2014-07-01,6045.984
2014-10-01,6081.506
2015-01-01,6112.126
2015-04-01,6059.788
2015-07-01,6225.731
2015-10-01,6245.98
2016-01-01,6318.634
2016-04-01,6320.457
2016-07-01,6412.654
2016-10-01,6462.249
2017-01-01,6506.591
2017-04-01,6535.748
2017-07-01,6639.427
2017-10-01,6694.391
2018-01-01,6786.814
2018-04-01,6901.148
2018-07-01,6988.095
2018-10-01,7074.886
2019-01-01,7216.024
2019-04-01,7296.565
2019-07-01,7379.13
2019-10-01,7463.582
2020-01-01,7502.143
2020-04-01,10784.221
2020-07-01,9690.565
2020-10-01,8459.436
2021-01-01,10998.545
2021-04-01,9468.937
2021-07-01,9156.734
2021-10-01,8720.098
2022-01-01,8250.42
2022-04-01,8688.168
2022-07-01,8847.599
